user_id,item_id,rating
0,939,4.52
0,1073,3.6
1,1141,4.88
1,269,2.44
1,939,1.7200000000000002
1,1073,1.04
3,1453,4.0
3,1073,3.7199999999999998
7,1073,3.92
10,1073,2.28
13,1073,2.56
14,1073,3.56
15,1332,4.76
15,1433,4.52
15,907,4.24
15,1141,2.64
15,1073,2.0
18,1312,4.6
18,349,4.2
18,1141,4.04
18,939,3.44
18,907,2.88
18,1073,1.52
19,907,3.8
19,192,3.12
19,1433,2.52
19,1073,1.7200000000000002
19,939,1.08
20,939,3.16
20,1073,2.96
23,939,2.96
23,1332,2.88
23,1433,2.24
23,1301,2.08
23,1073,1.6
26,1073,4.56
27,1433,1.6
27,1073,1.1600000000000001
31,1073,1.2400000000000002
34,1073,4.72
36,939,3.8
36,1073,3.7199999999999998
37,1073,4.4
40,939,4.4399999999999995
40,1637,3.76
40,1073,1.3599999999999999
43,1433,3.88
43,1073,2.24
45,939,3.0
45,1433,1.4
45,1073,1.3599999999999999
46,1253,4.96
49,1433,4.76
49,1073,2.16
56,1073,3.44
59,312,4.92
59,939,4.88
59,1433,4.52
59,71,4.4399999999999995
59,907,2.6
59,1141,1.6400000000000001
59,1434,1.56
59,1073,1.52
60,1073,2.36
61,1433,4.48
61,939,3.92
61,1073,2.84
64,1548,3.2800000000000002
64,939,2.84
64,1073,1.2799999999999998
65,1141,4.92
65,1073,2.4
65,939,1.08
68,953,4.76
68,939,4.6
68,1073,1.7200000000000002
69,1073,3.56
69,939,2.56
70,1073,2.6
70,1141,2.4
71,939,4.4
71,1073,3.84
72,1190,3.8
72,1332,2.16
72,1502,2.04
72,269,1.7999999999999998
72,1073,1.2400000000000002
73,1073,4.52
77,1346,4.8
77,984,4.68
77,1301,4.16
77,173,3.96
77,1308,2.52
77,1548,2.28
77,939,2.2
77,1067,1.6
77,1073,1.2799999999999998
78,939,4.64
78,1073,4.52
80,1073,1.3199999999999998
82,1141,3.48
82,1073,3.12
82,907,2.12
82,939,2.04
86,237,4.32
86,939,4.24
86,1513,2.04
86,1073,1.7200000000000002
87,1073,2.32
89,1308,3.6
89,1438,2.8
89,1548,2.68
89,1433,2.56
89,1073,1.7599999999999998
97,939,2.92
97,1073,2.32
97,1433,1.6800000000000002
98,1577,4.76
98,1534,4.2
98,269,3.3200000000000003
98,1548,3.2800000000000002
98,1434,3.12
98,71,2.92
98,907,2.6
98,1433,1.6400000000000001
98,1073,1.4
99,1433,3.84
99,939,3.6
99,1073,2.72
100,1404,4.04
100,939,3.76
100,1073,2.84
106,1301,4.52
106,939,3.52
106,1073,3.12
111,1073,3.08
115,1548,2.8
115,939,2.6
115,1073,2.56
116,1301,4.16
116,939,3.2
116,1073,3.08
117,1269,3.3600000000000003
117,1073,2.4
118,1073,2.28
120,1433,4.76
120,1073,3.76
121,1433,3.96
121,1073,3.7199999999999998
123,1073,3.16
124,1637,4.68
124,1434,2.56
124,1332,1.96
124,1073,1.3599999999999999
131,1332,3.0
131,1073,2.48
135,1422,2.8
135,1548,1.7200000000000002
135,1073,1.2000000000000002
140,1404,2.84
140,1548,2.36
140,1301,2.32
140,1073,2.08
142,1433,4.36
142,1073,3.3600000000000003
143,1301,3.92
143,1073,3.6399999999999997
146,71,4.76
147,1141,3.2800000000000002
147,1073,3.0
148,939,4.6
148,1433,2.56
148,1073,1.8399999999999999
154,1433,3.2800000000000002
154,1141,2.04
154,1073,1.2799999999999998
157,939,4.6
157,1433,4.28
157,1141,4.24
157,1067,2.0
157,1073,1.2799999999999998
158,1073,2.88
159,1073,3.04
161,1073,2.2
163,1073,4.24
164,1073,3.6799999999999997
165,1141,3.88
165,1073,1.3599999999999999
165,939,1.2000000000000002
167,939,3.6
168,1073,4.68
171,1141,4.4399999999999995
171,1073,1.7999999999999998
172,1434,4.96
172,1405,4.88
172,41,4.12
172,939,2.8
172,1433,2.32
172,1073,1.6800000000000002
174,1141,4.64
174,1073,1.3599999999999999
176,1073,2.72
178,917,4.76
178,1141,3.52
178,907,2.84
178,1637,2.64
178,939,2.24
178,1073,1.2000000000000002
179,1073,2.96
180,939,3.04
180,1073,2.92
181,1073,4.48
186,1433,4.04
186,1073,3.12
188,1308,4.88
188,71,4.52
188,1453,3.92
188,939,2.84
188,1433,2.28
188,1073,1.7200000000000002
189,939,1.88
189,1073,1.44
190,1433,4.32
190,939,4.24
190,1073,3.7199999999999998
191,1548,3.4
191,1332,2.24
191,1073,1.4
193,1073,3.76
194,1073,4.04
201,1067,3.7199999999999998
201,1433,2.72
201,939,2.56
201,1073,2.4
202,1073,1.3599999999999999
204,1073,4.72
205,1073,3.52
205,939,2.12
206,1073,4.72
207,1073,1.8399999999999999
209,1073,3.24
211,1141,4.64
211,1073,1.3199999999999998
215,1141,3.6799999999999997
215,1206,3.48
215,1383,3.3600000000000003
215,939,2.08
215,1433,1.4
215,1073,1.12
219,939,4.08
219,1141,2.4
219,1073,1.4
221,1141,1.3199999999999998
224,390,4.8
224,1073,2.24
225,1073,2.24
226,1073,1.1600000000000001
235,1073,1.6800000000000002
237,41,4.64
237,820,4.36
237,939,1.3599999999999999
237,1073,1.08
238,1073,4.08
240,1073,4.08
243,939,4.08
243,1073,3.44
244,1434,4.64
244,1067,3.8
244,1548,3.56
